pickup_week,trips,duration_p50,duration_p95,speed_p50,revenue_total,tip_percent_median,flex_fare_percent,airport_percent,invalid_percent,trips_index
2021-06-28,552579.0,10.391666666666666,33.266666666666666,11.031847112045881,10427551.64,16.598547151390797,0.0,5.500321050022032,0.0,68.07515901438798
2021-07-05,555385.0,15.25,411.15999999999997,16.381450032658393,10729391.56,16.666666666666664,0.0,13.328807911445773,0.0,68.42084514468677
2021-07-12,610712.0,11.733333333333334,34.11666666666667,10.507980446119584,11804544.280000001,14.082929846639509,0.0,4.480345129390038,0.0,75.2368738442737
2021-07-19,594744.0,10.433333333333334,37.383333333333326,11.80860515237418,11577861.090000002,16.666666666666664,0.0,3.805253081121182,0.0,73.26969061953706
2021-07-26,594161.0,10.483333333333333,35.083333333333336,11.880474927098367,11562176.360000003,16.602316602316602,0.0,4.831134593328659,0.0,73.19786773501667
2021-08-02,580761.0,12.058333333333334,34.333333333333336,7.89451681220337,11350046.030000001,16.63449163449163,0.0,3.2576279358082516,0.0,71.54705014912795
2021-08-09,586806.0,11.4875,34.81666666666667,11.267021332357967,11413003.05,14.050103448837625,0.0,3.2590098227005955,0.0,72.29176599291134
2021-08-16,561640.0,10.55,34.25,11.382621290701259,11001945.280000001,16.602316602316602,0.0,6.979203760415925,0.0,69.19143201033856
2021-08-23,574122.0,10.766666666666667,35.88333333333333,11.198327133243428,11356006.35,16.602316602316602,0.0,7.265703108398563,0.0,70.72915627205967
2021-08-30,552285.0,10.583333333333334,39.61666666666667,11.402563626230727,11181090.15,16.59919028340081,0.0,5.029162536397782,0.0,68.03893958377222
2021-09-06,600723.0,11.566666666666666,37.35,10.813008130081302,12167010.14,16.607773851590107,0.0,6.901517005341897,0.0,74.00627557073322
2021-09-13,651909.0,11.65,36.55,10.210509400610638,12840353.59,16.610169491525426,0.0,5.752950181697139,0.0,80.31215235814365
2021-09-20,653536.0,11.145833333333332,37.88333333333333,8.492207605189554,13160637.730000002,8.306188925081432,0.0,3.0328184914633365,0.0,80.51259117995266
2021-09-27,681559.0,11.758333333333333,36.93333333333333,10.133819210512605,13487969.04,16.612377850162865,0.0,5.992246610568067,0.0,83.964894255278
2021-10-04,704261.0,11.883333333333333,36.06666666666667,9.906363462640932,13951649.09,16.614420062695924,0.0,5.910592805792171,0.0,86.76167491459483
2021-10-11,716293.0,9.745833333333334,36.333333333333336,9.817172777424581,14276827.51,10.519599411878936,0.0,3.14334537220208,0.0,88.24396127231222
2021-10-18,735794.0,11.983333333333333,36.81666666666667,9.86068799072338,14670531.33,16.615384615384617,0.0,5.936851890610687,0.0,90.64639364114922
