pickup_date,trips,duration_p50,duration_p95,speed_p50,revenue_total,tip_percent_median,flex_fare_percent,airport_percent,invalid_percent,trips_index
2021-01-24,28094.0,8.05,25.7,13.640833988985051,476921.98,16.591928251121075,0.0,0.0,0.0,22.27896685989802
2021-01-25,41645.0,8.816666666666666,24.966666666666665,11.389432485322896,671163.03,16.577540106951876,0.0,0.0,0.0,33.02511478893903
2021-01-26,42315.0,8.8,24.221666666666593,11.129103488885619,663521.37,16.587677725118482,0.0,0.0,0.0,33.55643492121395
2021-01-27,46654.0,9.15,25.55,10.933527295247846,744788.3900000001,16.587677725118482,0.0,0.0,0.0,36.99732753903617
2021-01-28,50275.0,9.15,26.121666666666595,10.69609507640068,806035.4100000001,16.587677725118482,0.0,0.0,0.0,39.86883529868915
2021-01-29,48624.0,8.983333333333333,26.764166666666643,10.697674418604652,780848.98,16.591928251121075,0.0,0.0,0.0,38.559567330949
2021-01-30,35569.0,8.4,24.94333333333331,12.233009708737864,570223.3,16.591928251121075,0.0,0.0,0.0,28.206754902815998
2021-01-31,28117.0,11.929166666666667,26.704166666666666,15.01411517178561,459538.88,10.414608193357147,0.0,0.0,0.0,22.297206207722382
2021-02-01,5265.0,8.0,29.979166666666654,11.618880353134156,83470.78,11.136363636363637,0.0,0.0,0.0,4.175224621533532
2021-02-02,25985.0,8.166666666666666,24.759999999999977,12.308930008045053,423077.64,15.454545454545453,0.0,0.0,0.0,20.60649796591621
2021-02-03,49213.0,10.683333333333334,29.566666666666666,9.568965517241379,839184.03,16.587677725118482,0.0,0.0,0.0,39.026653238277255
2021-02-04,52144.0,11.566666666666666,33.75,8.854532677442023,918432.9300000002,16.587677725118482,0.0,0.0,0.0,41.35098056319934
2021-02-05,50769.0,10.283333333333333,29.733333333333334,9.793253536452665,854069.81,16.587677725118482,0.0,0.0,0.0,40.26058476935155
2021-02-06,45254.0,9.383333333333333,26.372499999999977,11.421986478619475,736349.68,16.59919028340081,0.0,0.0,0.0,35.88710636711842
2021-02-07,24407.0,7.7,24.283333333333335,14.4222833562586,406593.36000000004,16.59919028340081,0.0,0.0,0.0,19.355120102140347
2021-02-08,45617.0,9.45,27.153333333333283,10.656620021528525,752920.03,16.577540106951876,0.0,0.0,0.0,36.17497085669424
2021-02-09,46467.0,9.666666666666666,26.633333333333333,10.350877192982457,756869.01,16.591928251121075,0.0,0.0,0.0,36.84903371107287
2021-02-10,50999.0,10.1,29.16833333333331,9.885172241637546,846376.0000000001,16.591928251121075,0.0,0.0,0.0,40.44297824759518
