PULocationID,trips,duration_avg,distance_avg,fare_avg,revenue_total,cluster
113,399552,12.737904160993645,2.2586928610043246,10.771608576605798,6669346.2,2
114,310375,12.949687474828837,2.515130052356021,11.31287333064841,5387000.96,0
116,34180,14.320039496781744,3.316744294909304,13.510193387946167,582357.04,0
119,751,23.23315579227696,6.371451398135819,23.73126498002663,20723.1,0
125,135749,13.13442898290227,2.7591794414691817,11.94856028405366,2461733.0100000002,0
127,1993,16.11360595417294,4.6555845459106875,17.519458103361767,42113.75,0
129,5663,16.498128200600387,4.55929189475543,18.33487903937842,127577.83,0
130,1575,28.703523809523812,10.476101587301587,41.10693968253968,83006.28,1
132,959526,37.81098594514375,15.929097971289991,45.770285807784255,56385272.51,1
134,1081,21.829309281529447,7.528223866790009,38.96766882516189,52919.39,1
135,1081,31.63058896083873,16.200851063829788,46.835300647548564,56615.52,1
136,895,42.42919925512104,10.792491620111733,38.78870391061452,39273.09,1
137,429179,11.844268048219195,2.4762837184484794,10.861065056771183,7150385.54,2
138,652449,27.932755178310234,9.664349336116691,30.698268753573075,28606097.12,1
140,645690,12.617208954761573,2.5099280304790224,11.290367064690487,11038868.32,2
141,853507,10.949259408534436,2.118895369340849,9.919099316115743,13283147.34,2
142,929550,11.696232998045648,2.184183303749126,10.274157667688666,14930639.56,2
143,375170,11.842026014873259,2.2340816163339285,10.428666684436388,6046083.69,2
144,211465,14.607903829632956,2.7174056226798764,12.317331662450052,3873821.94,0
145,9427,17.18621335879212,4.322723029595841,24.908285774901877,311383.35,0
146,16636,14.952639857337502,3.391766049531137,13.892768694397692,299518.73,0
148,233698,13.79197653952252,3.102832758517403,12.865616950080874,4447612.2,0
149,756,37.344598765432096,17.605674603174602,50.28703703703704,41063.049999999996,1
151,320210,12.311188282689486,2.4284041410324475,11.032849567471347,5043182.0,0
152,27508,13.415765110755657,3.089918205612913,12.781092773011487,445454.61,0
157,1047,19.454886978669215,5.463877745940784,33.48371537726838,45779.57,0
158,176699,14.290991837342977,2.663954804498045,12.092823558707181,3245457.1,0
159,2159,16.9992125984252,3.477369152385364,14.780671607225567,38365.67,0
161,1031087,12.7440817958782,2.234046166812306,10.827294253540195,17323561.09,2
162,902637,12.03323513955961,2.2703568544165598,10.63405484153652,14992891.32,2
163,753294,12.712936626779628,2.3024485924486324,10.962993731531116,12754622.5,2
164,586790,12.538514744059487,2.3434840914126007,10.985378227304487,9972840.620000001,2
166,169682,13.806115262667815,2.7484183944083638,12.193914027415989,2842502.23,0
167,740,20.486846846846845,4.186675675675676,17.465945945945943,14800.68,0
168,4004,16.279932567432567,3.8736413586413585,15.776098901098901,75559.13,0
169,825,26.051151515151517,6.055357575757576,23.411733333333334,21456.43,0
170,900812,12.074629611950106,2.2679192661731857,10.69715218047717,15002464.03,2
174,524,25.884764631043257,7.549904580152672,26.217690839694654,15785.75,0
179,5695,14.20275095112672,3.2180368744512733,13.266570676031606,93968.16,0
181,7738,17.63638321702421,3.8380653915740504,15.70675497544585,155159.82,0
183,514,33.49513618677043,12.546964980544749,39.945525291828794,23964.7,1
186,963389,13.759597940188232,2.420907888713697,11.51623184404223,16756897.790000001,2
188,1290,24.267596899224806,5.1047674418604645,20.6301007751938,30923.38,0
189,2231,18.19152099208128,3.899484536082474,16.04883908561183,46123.99,0
190,602,23.7203488372093,4.791378737541528,19.92358803986711,14874.73,0
193,5757,16.843958080018528,3.754917491749175,15.279095014764634,106565.14,0
194,947,18.746902499120026,6.018257655755016,38.881647307286165,50890.82,0
196,1129,22.540552111012694,5.798786536758193,26.594092116917626,37755.21,0
